season,matchday,indicator,namegoals,sub_in,sub_out,card_time,card_time,card_description,yellow_card,yellow_red_card,red_card,league_code
20-21,1,home,jadon-sancho/spieler,,,79',,,,,,GER1
20-21,1,home,erling-haaland/spieler,2.0,,,,,,,,GER1
20-21,1,away,yann-sommer/spieler,,,,,,,,,GER1
20-21,1,away,matthias-ginter/spieler,,,,,,,,,GER1
20-21,1,away,nico-elvedi/spieler,,,,,,,,,GER1
20-21,1,away,ramy-bensebaini/spieler,,,,,,,,,GER1
20-21,1,away,stefan-lainer/spieler,,,,,,,,,GER1
20-21,1,away,florian-neuhaus/spieler,,,,,,,,,GER1
20-21,1,away,christoph-kramer/spieler,,,,,,,,,GER1
20-21,1,away,oscar-wendt/spieler,,,69',,,,,,GER1
20-21,1,away,hannes-wolf/spieler,,,57',,,,,,GER1
20-21,1,away,jonas-hofmann/spieler,,,,,,,,,GER1
20-21,1,away,lars-stindl/spieler,,,57',39', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,peter-gulacsi/spieler,,,,,,,,,GER1
20-21,1,home,lukas-klostermann/spieler,,,,,,,,,GER1
20-21,1,home,dayot-upamecano/spieler,,,,,,,,,GER1
20-21,1,home,marcel-halstenberg/spieler,,,,,,,,,GER1
20-21,1,home,angelino/spieler,,,,,,,,,GER1
20-21,1,home,amadou-haidara/spieler,1.0,,90' +2,,,,,,GER1
20-21,1,home,tyler-adams/spieler,,,,,,,,,GER1
20-21,1,home,kevin-kampl/spieler,,,77',,,,,,GER1
20-21,1,home,dani-olmo/spieler,,,69',,,,,,GER1
20-21,1,home,emil-forsberg/spieler,1.0,,77',,,,,,GER1
20-21,1,home,yussuf-poulsen/spieler,1.0,,,64', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,robin-zentner/spieler,,,,,,,,,GER1
20-21,1,away,ridle-baku/spieler,,,,,,,,,GER1
20-21,1,away,jeremiah-st-juste/spieler,,,,,,,,,GER1
20-21,1,away,moussa-niakhate/spieler,,,,,,,,,GER1
20-21,1,away,daniel-brosinski/spieler,,,,,,,,,GER1
20-21,1,away,leandro-barreiro/spieler,,,,,,,,,GER1
20-21,1,away,danny-latza/spieler,,,86',58', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,jonathan-burkardt/spieler,,,68',,,,,,GER1
20-21,1,away,robin-quaison/spieler,,,68',,,,,,GER1
20-21,1,away,jean-philippe-mateta/spieler,1.0,,90' +1,30', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,karim-onisiwo/spieler,,,87',,,,,,GER1
20-21,1,home,koen-casteels/spieler,,,,,,,,,GER1
20-21,1,home,renato-steffen/spieler,,,,,,,,,GER1
20-21,1,home,maxence-lacroix/spieler,,,,,,,,,GER1
20-21,1,home,john-anthony-brooks/spieler,,,,,,,,,GER1
20-21,1,home,jerome-roussillon/spieler,,,69',,,,,,GER1
20-21,1,home,xaver-schlager/spieler,,,,43', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,home,maximilian-arnold/spieler,,,,,,,,,GER1
20-21,1,home,josip-brekalo/spieler,,,,,,,,,GER1
20-21,1,home,admir-mehmedi/spieler,,,69',,,,,,GER1
20-21,1,home,joao-victor-2/spieler,,,78',,,,,,GER1
20-21,1,home,wout-weghorst/spieler,,,,,,,,,GER1
20-21,1,away,lukas-hradecky/spieler,,,,,,,,,GER1
20-21,1,away,lars-bender/spieler,,,,,,,,,GER1
20-21,1,away,sven-bender/spieler,,,,,,,,,GER1
20-21,1,away,edmond-tapsoba/spieler,,,,,,,,,GER1
20-21,1,away,daley-sinkgraven/spieler,,,76',,,,,,GER1
20-21,1,away,charles-aranguiz/spieler,,,,33', (1. Gelbe Karte),1.0,0.0,0.0,GER1
20-21,1,away,florian-wirtz/spieler,,,85',,,,,,GER1
20-21,1,away,kerem-demirbay/spieler,,,63',,,,,,GER1
20-21,1,away,karim-bellarabi/spieler,,,85',,,,,,GER1
20-21,1,away,moussa-diaby/spieler,,,,,,,,,GER1
20-21,1,away,lucas-alario/spieler,,,63',,,,,,GER1
